Tn,k,time,Ia,Ib,Ic,Vbc,Torque,Speed,Category
26.71,0.0009484,0.5775,23.6311578701398,31.1907506215717,7.58240694817472,428.127153468794,47.6949158239657,14.5236684518329,A-C
26.71,0.0009484,0.578,23.6311580733088,31.1907506502742,7.58240676247796,428.127153469007,42.8828693216079,14.6050601265205,A-C
26.71,0.0009484,0.5785,23.6311579713515,31.1907505024385,7.58240671496222,428.127153469098,40.9661866210923,14.6787407092095,A-C
26.71,0.0009484,0.579,23.6311578342671,31.1907504897982,7.58240684875977,428.127153469178,29.5365041139865,14.7170442354603,A-C
26.71,0.0009484,0.5795,23.6311578459778,31.1907503489736,7.58240668550326,428.127153469109,25.5181252242853,14.7340929839962,A-C
26.71,0.0009484,0.58,23.6311575116148,31.1907503849002,7.58240708929763,428.12715346923,14.3115818184726,14.714518230798,A-C
26.71,0.0009484,0.5805,23.6311575898337,31.1907503379102,7.58240695335535,428.127153469212,7.95862937467857,14.6687905953872,A-C
26.71,0.0009484,0.581,23.6311572722992,31.1907502597869,7.58240721868295,428.127153469345,3.66729811436926,14.5951682118956,A-C
26.71,0.0009484,0.5815,23.6311572180406,31.1907503038082,7.58240732504429,428.127153469321,-3.36271050551859,14.5086167529402,A-C
26.71,0.0009484,0.582,23.6311569379327,31.190750154115,7.58240747323425,428.127153469463,-0.948610658384037,14.4072016985162,A-C
26.71,0.0009484,0.5825,23.6311567679685,31.1907501751398,7.58240767726318,428.127153469377,-2.99069986553332,14.3149824537172,A-C
26.71,0.0009484,0.583,23.6311565721078,31.1907500180972,7.58240772241566,428.127153469468,3.03280000637361,14.2242044363741,A-C
26.71,0.0009484,0.5835,23.6311562599723,31.1907498655379,7.58240790706928,428.127153469605,8.69225870998827,14.1616634060907,A-C
26.71,0.0009484,0.584,23.6311560224349,31.1907497361819,7.58240801706633,428.127153469911,14.1969591332423,14.1137648004595,A-C
26.71,0.0009484,0.5845,23.6311556503434,31.1907494672578,7.58240813921295,428.12715347015,26.0328538331935,14.1066584622805,A-C
26.71,0.0009484,0.585,23.6311555080038,31.1907493550226,7.58240817271238,428.127153470263,28.7295123977306,14.1172716598846,A-C
26.71,0.0009484,0.5855,23.6311552307698,31.1907490309719,7.58240813168856,428.12715347048,41.3053403527582,14.1701904851817,A-C
26.71,0.0009484,0.586,23.63115513302,31.1907489311278,7.58240813609506,428.127153470876,40.4244585981467,14.2350340730888,A-C
26.71,0.0009484,0.5865,23.6311549688607,31.1907486273009,7.58240799098981,428.127153471069,48.4454068439458,14.3282586254606,A-C
26.71,0.0009484,0.587,23.631154824984,31.1907485722301,7.58240808988436,428.127153470862,46.2582568632633,14.4228736026194,A-C
26.71,0.0009484,0.5875,23.6311549277307,31.1907484513818,7.58240785284134,428.127153470829,45.5028209153516,14.5218875873879,A-C
